miRBase,CID,Correlation
MIMAT0000150,12967,1
MIMAT0000430,5793,1
MIMAT0000430,119307,1
MIMAT0001835,74483,1
MIMAT0001835,54680783,1
MIMAT0000430,448537,1
MIMAT0004596,97226,1
MIMAT0000250,60750,1
MIMAT0000250,3229,1
MIMAT0000250,444732,1
MIMAT0000656,5757,1
MIMAT0004552,5793,1
MIMAT0004662,9064,1
MIMAT0000250,31703,1
MIMAT0000656,8490,1
MIMAT0000151,443586,1
MIMAT0000431,969516,1
MIMAT0000431,712,1
MIMAT0000573,5743,1
MIMAT0000573,36314,1
MIMAT0000573,2236,1
MIMAT0000152,16078949,1
MIMAT0000574,89594,1
MIMAT0003159,74483,1
MIMAT0004597,3385,1
MIMAT0000431,5311,1
MIMAT0000431,14888,1
MIMAT0000432,3220,1
MIMAT0000432,5793,1
MIMAT0000432,10635,1
MIMAT0000432,60852,1
MIMAT0000432,5994,1
MIMAT0000432,2375,1
MIMAT0000432,2662,1
MIMAT0000846,8029,1
MIMAT0001837,15625,1
MIMAT0000153,6410,1
MIMAT0000432,3385,1
MIMAT0000432,784,1
MIMAT0004533,443586,1
MIMAT0000432,445580,1
MIMAT0000155,5281004,1
MIMAT0000155,16741,1
MIMAT0000848,3779,1
MIMAT0000155,16132265,1
MIMAT0000155,6036,1
MIMAT0000155,12967,1
MIMAT0000434,97226,1
MIMAT0000434,123596,1
MIMAT0000154,6410,1
MIMAT0000154,2336,1
MIMAT0000433,5793,1
MIMAT0000433,241,1
MIMAT0000433,60700,1
MIMAT0000433,5994,1
MIMAT0000433,107985,1
MIMAT0000247,8490,1
MIMAT0000247,444732,1
MIMAT0000435,5222465,1
MIMAT0000435,46843772,1
MIMAT0000435,5757,1
MIMAT0000435,3229,1
MIMAT0000435,444732,1
MIMAT0000435,14888,1
MIMAT0001840,74483,1
MIMAT0000435,31401,1
MIMAT0004599,2375,1
MIMAT0005966,3496,1
MIMAT0005966,23973,1
MIMAT0000435,445580,1
MIMAT0005987,3496,1
MIMAT0000156,9064,1
MIMAT0000156,5280343,1
MIMAT0000156,6410,1
MIMAT0000156,12967,1
MIMAT0000156,210332,1
MIMAT0000436,5284373,1
MIMAT0000436,46843772,1
MIMAT0000436,444732,1
MIMAT0000436,14888,1
MIMAT0000436,2375,1
MIMAT0000850,3028194,1
MIMAT0000850,3121,1
MIMAT0001841,15625,1
MIMAT0000157,702,1
MIMAT0000157,8490,1
MIMAT0000437,42611257,1
MIMAT0000437,3385,1
MIMAT0000437,5222465,1
MIMAT0000437,46843772,1
MIMAT0000437,9444,1
MIMAT0000437,444795,1
MIMAT0000437,451668,1
MIMAT0000437,31703,1
MIMAT0000437,5394,1
MIMAT0000851,444254,1
MIMAT0004534,31703,1
MIMAT0006012,3496,1
MIMAT0000449,3229,1
MIMAT0000449,5757,1
MIMAT0007347,5288826,1
MIMAT0000158,6001,1
MIMAT0000158,5206,1
MIMAT0000449,444732,1
MIMAT0000449,6623,1
MIMAT0000449,123596,1
MIMAT0000449,5288826,1
MIMAT0000449,2336,1
MIMAT0000449,89594,1
MIMAT0000449,14888,1
MIMAT0000449,5280795,1
MIMAT0000852,31703,1
MIMAT0000852,3019,1
MIMAT0000158,4891,1
MIMAT0000449,5865,1
MIMAT0000449,122634,1
MIMAT0002809,444732,1
MIMAT0002809,448537,1
MIMAT0003475,108065,1
MIMAT0003475,8490,1
MIMAT0003475,210332,1
MIMAT0005595,5743,1
MIMAT0005595,6440495,1
MIMAT0005595,8029,1
MIMAT0005595,3779,1
MIMAT0002809,969516,1
MIMAT0004826,443586,1
MIMAT0002809,60823,1
MIMAT0002809,14888,1
MIMAT0002809,5994,1
MIMAT0002809,3385,1
MIMAT0000251,5793,1
MIMAT0000251,3385,1
MIMAT0000251,60823,1
MIMAT0000243,5793,1
MIMAT0000243,969516,1
MIMAT0000243,73581,1
MIMAT0000243,5281708,1
MIMAT0000243,5743,1
MIMAT0000243,36314,1
MIMAT0000243,13342,1
MIMAT0000243,14888,1
MIMAT0000243,15,1
MIMAT0000243,47725,1
MIMAT0000243,2662,1
MIMAT0000243,119307,1
MIMAT0000516,5757,1
MIMAT0000516,8490,1
MIMAT0000516,210332,1
MIMAT0000580,16078949,1
MIMAT0000759,712,1
MIMAT0000759,14888,1
MIMAT0000579,6440495,1
MIMAT0000159,5757,1
MIMAT0000450,60750,1
MIMAT0000450,14888,1
MIMAT0000450,2375,1
